tweet,negative,neutral,positive,compound
"😂
#ripped #muscle #abs #bodybuilding #pump #training #physique #strong #gymlife #gym #workout #fitness #legday #squat #gains #shredded #ifbb #instafit #lmao #funnymemes #hahaha
https://t.co/uV2pgQG3au https://t.co/WljuleW5Ni",0.455,0.5,0.045,0.9531
"@LEGDAY It was really fascinating/eye opening when I went to look more in depth on it. Thank you and I hope that if you're looking for something, you find it and that it helps 💙",0.276,0.724,0.0,0.9042
"One of our favorite work out songs is I’m On the Pusuit of Happiness by Kid Cudi and Steve Aoki. What’s yours? 

#fitness #chest #Chestday #hotboysummer #hotgirlsummer #legday #workout #RS6 #audi #FitnessMotivation  #bodybuilding #fitness #exercise #muscle #weightloss",0.247,0.753,0.0,0.8689
@LEGDAY @SeoulDynasty The superior black and gold color combo 👌,0.546,0.454,0.0,0.8636
"Good day today 💪🏼🙏🏼👍🏼. Plus how’s that for stretching? To the moon and back, lol 😝. #legday #mapmywalk #mapmyfitness #fitness #grayhairdontcare #gay #gayandidocare #outandproud #gayman #silverdaddy #legsup #motivation #letnothingstopyou https://t.co/QHJaiWKbTv",0.192,0.808,0.0,0.8481
"#fitfam are really NICE people ... who SMASH #legday, BLAST arms, CRUSH chest &amp; back, MURDER abs, PULVERIZE shoulders ... did I say NICE??
https://t.co/PsHrRGtKWT
LIKE ▪️ SHARE ▪️ COMMENT https://t.co/9rgsS5iJkV",0.274,0.573,0.153,0.7285
"Great session👏❤️
#gym #gymlifestyle #legday https://t.co/2c1a4euQvX",0.313,0.687,0.0,0.6249
"I workout in a jockstrap for the first time for this leg day. The mobility of em. I will say it did constrict my nuts during one workout which highly uncomfortable so I didn’t do it, but other than that it was great. #gymflow #jockstraps #DoYouJockstrap #legday #prettyboysavage",0.104,0.83,0.066,0.6191
"Second leg day this week

#legday #workout #squat #squats #fitness #fit #deadlift #gym https://t.co/CJ6X7ZNHRK",0.277,0.723,0.0,0.5574
"4:30 AM starting my 12 mile ruck

#healthylifestyle #natives #merica #gym #gymmotivation #fitness #fitnessmotivation #workout #workoutmotivation #legday #isimplyamnotthere #bodybuilding #nsfw #fit https://t.co/LQLYbZS3FP",0.187,0.813,0.0,0.5574
Leg day for me today!!!!!#legday #bodybuilding #fitness #workout #stronglegs https://t.co/EvmesNtqdP,0.266,0.734,0.0,0.5053
@LEGDAY IT BETTER BE,0.492,0.508,0.0,0.4404
@LEGDAY True,0.737,0.263,0.0,0.4215
"Dag na legday is nooit zo nice, opeens heb je een rare wakka?",0.189,0.811,0.0,0.4215
Welp looks like my trainer F*d up my Saturday nite #legday,0.2,0.8,0.0,0.3612
"Me, my legday and I✨ https://t.co/pb8Pq7aob2",0.277,0.723,0.0,0.3182
"Saturday evening #LegDay
REALLY Focusing on the mind-muscle connection these next few weeks. Strength may wane but I’ll be more connected with my body than ever💪🏻 https://t.co/FxOo3vFaMp",0.063,0.937,0.0,0.2732
"@LEGDAY @SeoulDynasty All seoul skins top tier, the black and gold just hit different",0.122,0.878,0.0,0.2023
@ammatice @trishhdoes @LEGDAY,0.0,1.0,0.0,0.0
#legday https://t.co/jXcE8v7VCa,0.0,1.0,0.0,0.0
"Wordle 294 3/6

🟨🟨🟨🟩⬛
🟨🟨🟩🟩⬛
🟩🟩🟩🟩🟩 #89for89 #LegDay ⁦@JimInMotown⁩ ⁦@2xCurlerBlake⁩ ⁦@JunoJade6⁩ ⁦@dwill3⁩",0.0,1.0,0.0,0.0
"bodytype headcanon is;
brickwall back with religiously-skipping-legday https://t.co/Poa88qAsTF https://t.co/0NrFpnUpxK",0.0,1.0,0.0,0.0
@LEGDAY @artemiis19 Sunderland Skeezers,0.0,1.0,0.0,0.0
ni q fueras legday para gustarme tanto,0.0,1.0,0.0,0.0
mais um legday concluido com sucesso,0.0,1.0,0.0,0.0
E teve Legday no sábado. https://t.co/ttP65Ae5tT,0.0,0.694,0.306,-0.296
The post #LegDay pump is real today🔥 https://t.co/AlrcK5uPfj https://t.co/2querNwqEw,0.0,0.789,0.211,-0.34
@LEGDAY I have nothing but faith in the legend known as Legday 👑,0.0,0.8,0.2,-0.4585
"Killer butt day done, and now time for ALL THE FOOD!!!

#legday #hungryaf @ Tacoma, Washington https://t.co/IHJTsKhdRX",0.0,0.756,0.244,-0.7332
"@LEGDAY Hell yeah it is Legday, hell yeah it is.",0.224,0.306,0.469,-0.7783
